ship_id,name,faction_id,cost,hull,shields,armor,accuracy,evasion,speed,power,fuel,cargo,weapon_slots,equipment_slots,upgrade_slots,description
1,Scout,0,15000,100,50,5,50,40,3,100,50,20,1,2,4,Basic exploration vessel. Starting ship.
2,Shuttle,0,12000,80,30,3,45,35,2,80,60,30,0,1,2,Unarmed transport. Cheap and reliable.
3,Armed Freighter,0,45000,250,100,15,55,30,2,150,100,100,2,4,6,Balanced trader with defense capability.
4,Battlecruiser,0,250000,500,200,40,70,25,2,300,150,50,4,6,8,Heavy combat vessel. End-game ship.
5,Hegemony Patrol,1,35000,180,90,20,60,35,3,120,80,30,2,3,5,Standard military patrol craft.
6,Hegemony Destroyer,1,120000,400,180,35,68,28,2,250,120,40,3,5,7,Military destroyer. High firepower.
7,Hegemony Dreadnought,1,280000,550,220,45,72,22,2,320,160,45,4,6,8,Ultimate Hegemony warship. Requires Allied status.
8,Hegemony Hauler,1,55000,220,80,12,50,32,2,140,110,120,1,4,5,Military cargo transport.
9,Coalition Fighter,2,28000,120,60,8,58,50,4,110,70,15,2,2,4,Fast interceptor. High evasion.
10,Coalition Corvette,2,65000,200,100,12,62,42,3,160,90,35,2,4,6,Agile mid-size warship.
11,Coalition Liberator,2,180000,380,150,25,65,35,3,240,130,50,3,5,7,Freedom fighter flagship. Requires Allied status.
12,Coalition Runner,2,42000,150,70,10,52,45,3,130,95,80,1,3,5,Fast blockade runner. Good for smuggling.
13,Frontier Hauler,3,38000,180,60,10,48,30,2,120,140,150,1,3,5,Maximum cargo capacity. Slow but reliable.
14,Frontier Scavenger,3,32000,160,70,15,50,35,2,110,100,70,1,4,5,Salvage specialist. Good armor for size.
15,Frontier Guardian,3,95000,320,120,28,58,32,2,180,120,60,2,5,6,Defensive convoy escort.
16,Nexus Probe,4,40000,140,100,8,65,45,3,150,85,25,2,4,6,AI-assisted scout. High accuracy.
17,Nexus Cruiser,4,150000,350,180,22,70,38,3,280,110,45,3,6,8,Cybernetic hybrid warship. Requires Allied status.
18,Nexus Datafreighter,4,48000,190,90,10,55,36,2,140,100,90,1,5,6,Advanced cargo systems.
19,Velanthi Scout,5,75000,200,140,18,68,48,3,200,90,30,2,5,7,Alien technology. Mysterious capabilities.
20,Velanthi Starcruiser,5,320000,480,240,35,75,40,3,350,140,55,4,7,9,Exotic alien warship. Requires Allied status.
21,Cartel Raider,6,30000,140,50,12,60,48,4,100,75,40,2,2,4,Pirate attack craft. Fast and cheap.
22,Cartel Corsair,6,85000,280,110,20,64,40,3,170,100,60,3,4,6,Heavy pirate vessel.
23,Guild Miner,7,35000,200,80,18,45,28,2,130,120,100,0,3,4,Industrial mining ship. Unarmed but tough.
24,Guild Prospector,7,42000,170,70,15,48,32,2,120,110,85,1,3,5,Survey vessel with light defenses.
25,Fighter Escort,0,0,80,40,5,55,45,4,90,50,10,1,1,2,Hire-only escort fighter.
26,Corvette Escort,0,0,150,80,10,58,38,3,130,70,20,2,2,3,Hire-only escort corvette.
27,Frigate Escort,0,0,250,120,18,60,32,2,170,90,30,3,3,4,Hire-only escort frigate.
28,Repair Ship Escort,0,0,100,60,8,40,35,2,110,80,20,0,4,3,Hire-only repair vessel.
29,Tank Escort,0,0,300,150,25,50,28,1,150,70,25,1,2,3,Hire-only heavy escort.
