id,hip,proper,ra,dec,dist_pc,dist_ly,x_ly,y_ly,z_ly,grid_x,grid_y,spect,mag,lum,absmag,is_sol
0,,Sol,0.0,0.0,0.0,0.0,1.63078e-05,0.0,0.0,50,50,G2V,-26.7,1.0,4.85,True
70666,70890,Proxima Centauri,14.495985,-62.679485,1.2959,4.226655604,-1.54031737184,-1.17889412356,-3.75476984164,47,48,M5Ve,11.01,0.0000577032135333,15.447,
71456,71683,Rigil Kentaurus,14.660765,-60.833976,1.3248,4.320914687999999,-1.61513429668,-1.35055981104,-3.7724018349999997,47,47,G2V,-0.01,1.543121065657792,4.379,
87665,87937,Barnard's Star,17.963472,4.693388,1.8238,5.948433128,-0.056663081879999994,-5.92499229628,0.48637361188,50,38,sdM4,9.54,0.0004425883723626,13.235,
118720,,Wolf 359,10.941484,7.01532,2.3906,7.797085335999999,-7.44552504516,2.11784180104,0.95256142892,35,54,M6,13.45,0.000020758692705,16.557,
53879,54035,Lalande 21185,11.055632,35.969877,2.5469,8.306867164,-6.51659688,1.6448210157999998,4.87767602624,37,53,M2V,7.49,0.0057016427228074665,10.46,
118079,,,1.650199,-17.949782,2.6267,8.567139652,7.40536871844,3.4147554731999996,-2.6417429222799997,65,57,dM5.5e,12.57,0.0000563378150851,15.473,
32263,32349,Sirius,6.752481,-16.716116,2.6371,8.601059876,-1.61226412388,8.07800676036,-2.4738443365999996,47,66,A0m...,-1.44,22.824433121735034,1.454,
92115,92403,Ross 154,18.830369,-23.836232,2.9698,9.686180888,1.91089255748,-8.65113786824,-3.91427317188,54,33,M3.5Ve,10.37,0.0005465123745199,13.006,
119585,,Ross 248,23.698379,44.174924,3.1686,10.334579016,7.37976547244,-0.5838909943199999,7.19263346744,65,49,dM6  e,12.29,0.0001060718149635,14.786,
16496,16537,Ran,3.548848,-9.458262,3.2161,10.489503116,6.1936045932,8.289013384559999,-1.7238094758799998,62,67,K2V,3.72,0.2929543829769431,6.183,
113687,114046,Lacaille 9352,23.097531,-35.853073,3.2759,10.684544403999999,8.41982150992,-2.02658009068,-6.25819326588,67,46,M2/M3V,7.35,0.010734949358052354,9.773,
57375,57548,Ross 128,11.795666,0.804563,3.3553,10.943512268,-10.92587375152,0.58503254032,0.15365535315999998,28,51,M4.5V,11.12,0.0003496230040027,13.491,
119518,,EZ Aqr,22.642562,-15.302542,3.3979,11.082454724,10.01264021308,-3.7157778918399997,-2.92219142044,70,43,M5  e,12.66,0.0000867760744991,15.004,
91487,91772,Struve 2398 B,18.713249,59.626847,3.4545,11.26705902,1.0572901205199998,-5.59800459848,9.720691454359999,52,39,K5,9.7,0.0013702505971242452,12.008,
103879,104214,,21.114794,38.749415,3.4865,11.37142894,6.455788355359999,-6.07836063216,7.11637167152,63,38,K5V,5.2,0.08806432284180643,7.488,
37173,37279,Procyon,7.655033,5.224993,3.5142,11.461774152,-4.79224924672,10.3592690252,1.04377747744,40,71,F5IV-V,0.4,7.4404636619191935,2.671,
1472,1475,Groombridge 34,0.306174,44.022954,3.5873,11.700194188,8.386367689,0.6740666052,8.131254988919999,67,51,M1V,8.09,0.006510284984348607,10.316,
91484,91768,Struve 2398 A,18.713179,59.630396,3.5691,11.640833795999999,1.09215293536,-5.783088343799999,10.043481524439999,52,38,K5,8.94,0.002945777902339458,11.177,
108526,108870,,22.055486,-56.785977,3.6224,11.814674943999998,5.65094297884,-3.1529989753999996,-9.88352809892,61,44,K5V,4.69,0.15205475297324955,6.895,
118541,,,8.497244,26.778532,3.6258,11.825764247999999,-6.42022430512,8.38009244756,5.327640843839999,37,67,M6.5,14.81,0.0000136395486751,17.013,
8087,8102,,1.734479,-15.93748,3.6502,11.905346311999999,10.28723094948,5.02119771248,-3.2689311255999995,71,60,G8V,3.49,0.46644452520377955,5.678,
5632,5643,,1.208502,-16.998967,3.6899,12.034830244,10.93852860432,3.5811113409999997,-3.51867529792,72,57,M5.5Ve,12.1,0.0001713957307508,14.265,
82472,82724,,16.908863,-62.399734,3.6964,12.056030384,-1.57387882424,-5.359232314,-10.6840714778,47,39,Mp,11.85,0.000216570849471,14.011,
36107,36208,Luyten's Star,7.456805,5.225785,3.8026,12.402408055999999,-4.5973286364399994,11.463913735359998,1.1296673984799999,41,73,M5,9.84,0.0014588142602753474,11.94,
24129,24186,Kapteyn's Star,5.194169,-45.018417,3.9114,12.757265784,1.8884334553199997,8.82308731144,-9.028715623199998,54,68,M0V,8.86,0.0038089037649813515,10.898,
104751,105090,Lacaille 8760,21.287725,-38.867362,3.9462,12.870768071999999,7.59944784624,-6.53341348336,-8.07717832412,65,37,M1/M2V,6.69,0.028602236939542804,8.709,
110547,110893,Kruger 60,22.466642,57.695875,4.001,13.04950156,6.418857711479999,-2.7249355332,11.02891947816,63,45,M2V,9.59,0.002034229743211725,11.579,
30847,30920,Ross 614,6.489833,-2.813979,4.1268,13.459805808,-1.7193183077599998,13.33366823656,-0.66081488692,47,77,M4.5Ve,11.12,0.0005286886658509,13.042,
82473,82725,,16.908971,-62.403319,4.1465,13.524058539999999,-1.76515301044,-6.01114314212,-11.9854339178,46,38,,11.72,0.000307043565073,13.632,
