system_id,object_id,name,class,parent_object_id,is_moon,local_x,local_y,ore_richness,fuel_richness,habitability,risk,artifact_flag,artifact_type
0,0,Earth,RP,,0,27,29,3,1,82,33,0,
0,1,Luna,RM,0,1,28,28,2,0,68,39,0,
0,2,Mars,RP,,0,19,30,2,1,80,35,0,
0,3,Ceres,AS,,0,35,30,1,0,40,72,0,
1,0,Proxima Centauri I,RP,,0,28,29,2,0,71,23,0,
1,1,Proxima Centauri II,RP,,0,28,32,1,1,61,34,0,
1,2,Proxima Centauri III,RP,,0,35,29,3,1,59,28,0,
1,3,Proxima Centauri III-a,RM,2,1,34,30,2,1,54,37,0,
2,0,Rigil Kentaurus I,GG,,0,20,26,0,3,17,86,0,
2,1,Rigil Kentaurus II,RP,,0,32,21,3,2,72,43,0,
2,2,Rigil Kentaurus I-a,RM,0,1,20,27,1,2,70,39,0,
3,0,Barnard's Star I,GG,,0,22,21,0,3,4,76,0,
3,1,Barnard's Star II,RP,,0,17,23,2,1,61,32,0,
3,2,Barnard's Star III,RP,,0,31,34,2,0,53,39,0,
3,3,Barnard's Star I-a,IM,0,1,22,22,0,3,26,56,0,
3,4,Barnard's Star I-b,IM,0,1,22,22,1,2,37,50,0,
3,5,Barnard's Star III-a,IM,2,1,33,34,1,1,37,48,0,
4,0,Wolf 359 I,GG,,0,22,21,0,2,2,72,0,
4,1,Wolf 359 I-a,RM,0,1,23,23,1,1,50,29,0,
5,0,Lalande 21185 I,IC,,0,28,21,2,0,30,44,0,
5,1,Lalande 21185 I-a,RM,0,1,29,21,1,1,54,30,0,
7,0,Sirius I,RP,,0,27,30,1,1,42,61,0,
7,1,Sirius II,RP,,0,31,20,1,1,50,55,0,
7,2,Sirius III,RP,,0,36,26,3,2,42,52,0,
7,3,Sirius IV,RP,,0,17,36,3,0,40,59,0,
7,4,Sirius I-a,RM,0,1,29,30,2,0,38,59,0,
7,5,Sirius III-a,RM,2,1,38,28,3,2,36,57,0,
7,6,Sirius IV-a,RM,3,1,17,35,3,0,39,66,0,
9,0,Ross 248 I,RP,,0,20,24,3,1,67,39,0,
9,1,Ross 248 I-a,RM,0,1,20,23,2,1,42,47,0,
10,0,Ran I,GG,,0,26,20,0,3,20,81,0,
10,1,Ran I-a,RM,0,1,27,20,3,2,72,47,0,
10,2,Ran I-b,RM,0,1,27,20,0,1,71,43,0,
11,0,Lacaille 9352 I,DP,,0,26,30,3,0,38,46,0,
11,1,Lacaille 9352 II,DP,,0,19,19,2,1,47,49,0,
11,2,Lacaille 9352 III,RP,,0,25,36,2,1,60,22,0,
11,3,Lacaille 9352 IV,IC,,0,30,12,2,1,28,44,0,
11,4,Lacaille 9352 V,GG,,0,31,9,0,3,12,68,0,
11,5,Lacaille 9352 I-a,RM,0,1,26,32,2,1,49,30,0,
11,6,Lacaille 9352 V-a,RM,4,1,31,11,3,3,62,31,0,
12,0,Ross 128 I,IC,,0,21,28,3,0,42,40,0,
12,1,Ross 128 II,DP,,0,20,31,1,1,43,48,0,
12,2,Ross 128 III,RP,,0,14,26,2,1,69,31,0,
12,3,Ross 128 I-a,IM,0,1,22,30,0,2,30,48,0,
12,4,Ross 128 II-a,RM,1,1,22,33,0,1,60,36,0,
12,5,Ross 128 III-a,IM,2,1,15,25,0,3,39,51,1,RUI
13,0,EZ Aqr Asteroid,AS,,0,30,24,3,3,22,57,0,
13,1,EZ Aqr II,RP,,0,20,19,2,1,67,30,0,
13,2,EZ Aqr III,RP,,0,21,35,2,1,72,25,0,
13,3,EZ Aqr II-a,RM,1,1,20,20,2,1,52,27,0,
13,4,EZ Aqr III-a,RM,2,1,21,35,3,1,51,36,0,
14,0,Struve 2398 B I,IC,,0,30,26,1,1,37,38,0,
14,1,Struve 2398 B I-a,RM,0,1,30,25,3,0,65,37,0,
15,0,Helion Arc-09 I,DP,,0,26,30,2,1,58,48,1,RUI
15,1,Helion Arc-09 II,DP,,0,31,20,3,2,57,62,0,
15,2,Helion Arc-09 III,RP,,0,20,35,2,2,82,35,0,
15,3,Helion Arc-09 IV,IC,,0,39,26,0,2,46,38,0,
15,4,Helion Arc-09 I-a,RM,0,1,27,31,2,2,69,39,0,
16,0,Procyon I,RP,,0,21,23,2,1,55,53,0,
17,0,Struve 2398 A I,RP,,0,27,29,1,1,77,33,0,
17,1,Struve 2398 A II,RP,,0,18,20,2,1,68,35,0,
