system_id,object_id,name,class,parent_object_id,is_moon,local_x,local_y,ore_richness,fuel_richness,habitability,risk
0,0,Earth,RP,,0,27,29,3,1,82,33
0,1,Luna,RM,0,1,28,28,2,0,68,39
0,2,Mars,RP,,0,19,30,2,1,80,35
0,3,Ceres,AS,,0,35,30,1,0,40,72
71456,0,Alpha Centauri I,RP,,0,23,30,2,1,85,44
71456,1,Alpha Centauri II,RP,,0,25,17,2,2,82,46
71456,2,Alpha Centauri III,RP,,0,19,34,3,2,72,40
87665,0,Barnard's Star I,RP,,0,29,22,1,1,53,35
118720,0,Wolf 359 I,RP,,0,26,20,2,1,69,31
118720,1,Wolf 359 I-a,RM,0,1,27,19,3,1,51,31
53879,0,Lalande 21185 I,RP,,0,20,24,2,2,62,30
53879,1,Lalande 21185 I-a,RM,0,1,19,25,1,3,55,27
53879,2,Lalande 21185 II,RP,,0,21,32,3,3,58,26
32263,0,Sirius I,RP,,0,25,30,1,2,51,58
92115,0,Ross 154 I,GG,,0,30,26,0,2,17,68
119585,0,Ross 248 I,RP,,0,25,20,1,0,60,44
16496,0,Ran I,RP,,0,28,29,3,0,78,38
16496,1,Ran II,RP,,0,31,20,1,0,81,31
113687,0,Lacaille 9352 I,RP,,0,20,25,1,0,59,25
57375,0,Ross 128 I,RP,,0,30,27,3,2,63,26
57375,1,Ross 128 II,RP,,0,17,23,3,1,62,35
119518,0,EZ Aqr I,DP,,0,23,30,0,0,38,52
37173,0,Procyon I,RP,,0,20,27,1,1,54,42
37173,1,Procyon II,IC,,0,17,27,1,2,36,56
91484,0,Struve 2398 I,GG,,0,20,24,0,2,15,74
91484,1,Struve 2398 I-a,RM,0,1,20,24,3,0,57,32
1472,0,Groombridge 34 I,DP,,0,29,23,2,1,45,47
5632,0,Talios Belt-14 I,GG,,0,20,24,0,3,10,63
5632,1,Talios Belt-14 I-a,RM,0,1,21,26,0,2,53,35
5632,2,Talios Belt-14 I-b,IM,0,1,20,25,1,1,30,42
82472,0,Koros Reach-10 I,DP,,0,22,29,2,2,48,52
36107,0,Luyten's Star I,RP,,0,30,23,2,1,72,24
24129,0,Kapteyn's Star I,RP,,0,29,21,3,2,63,34
24129,1,Kapteyn's Star II,IC,,0,33,23,0,0,32,38
24129,2,Kapteyn's Star II-a,RM,1,1,32,25,2,3,49,30
24129,3,Kapteyn's Star III,RP,,0,35,20,2,1,65,32
104751,0,Lacaille 8760 I,IC,,0,30,25,1,2,27,32
104751,1,Lacaille 8760 I-a,RM,0,1,29,27,2,1,58,33
110547,0,Kruger 60 I,RP,,0,30,25,2,2,67,27
30847,0,Ross 614 I,DP,,0,30,26,3,2,42,52
30847,1,Ross 614 II,RP,,0,20,32,2,2,72,22
30847,2,Ross 614 II-a,RM,1,1,21,34,1,3,56,42
82473,0,Nomad Reach-26 I,RP,,0,24,20,0,1,60,40
118236,0,Meridian Sector-40 I,DP,,0,28,21,1,1,52,53
80579,0,Wolf 1061 I,DP,,0,30,25,2,1,50,54
118100,0,Pioneer Arc-18 I,RP,,0,21,22,1,1,63,47
118704,0,Epsara Expanse-45 I,DP,,0,20,25,2,3,52,49
118707,0,Vegaine Sector-02 I,RP,,0,20,25,2,1,62,26
118707,1,Vegaine Sector-02 I-a,RM,0,1,20,27,2,2,55,37
57194,0,Cygnera Sector-34 I,IC,,0,30,23,1,0,28,57
57194,1,Cygnera Sector-34 Asteroid,AS,,0,22,33,2,0,18,65
54052,0,Vegaine Arc-98 I,RP,,0,22,21,2,1,63,37
49767,0,Talios Cluster-75 I,GG,,0,24,30,0,3,24,76
49767,1,Talios Cluster-75 I-a,RM,0,1,25,29,1,0,69,37
19799,0,Keid I,GG,,0,30,23,0,3,27,70
19799,1,Keid I-a,RM,0,1,32,23,2,1,71,39
19799,2,Keid Asteroid,AS,,0,26,17,1,1,36,64
1240,0,Khoras Arc-46 I,RP,,0,25,30,1,2,64,32
1240,1,Khoras Arc-46 I-a,RM,0,1,24,30,0,3,58,27
88327,0,Triarch Verge-49 I,RP,,0,23,20,3,0,81,27
88327,1,Triarch Verge-49 II,RP,,0,29,18,1,0,73,35
88327,2,Triarch Verge-49 II-a,RM,1,1,28,20,2,3,68,37
97338,0,Altair I,GG,,0,26,30,0,3,0,98
97338,1,Altair I-a,RM,0,1,27,31,3,1,34,57
118578,0,Tauven Arc-87 I,GG,,0,21,22,0,3,16,72
118578,1,Tauven Arc-87 I-a,RM,0,1,20,23,3,1,60,28
67380,0,Sigmar Cluster-51 I,IC,,0,22,29,1,1,26,44
57371,0,Procyon Arc-47 I,RP,,0,26,20,2,0,61,27
66943,0,Tauven Expanse-52 I,GG,,0,20,27,0,2,4,64
66943,1,Tauven Expanse-52 I-a,RM,0,1,21,29,2,2,51,36
58735,0,Khoras Cluster-30 I,DP,,0,25,30,3,0,34,63
58735,1,Khoras Cluster-30 II,RP,,0,28,18,1,1,59,42
58735,2,Khoras Cluster-30 II-a,IM,1,1,29,17,3,1,35,66
33139,0,Pioneer Expanse-53 I,RP,,0,20,27,1,2,70,27
102708,0,Pioneer Sector-05 I,GG,,0,20,27,0,3,0,87
95799,0,Alsafi I,RP,,0,24,30,3,0,68,35
95799,1,Alsafi II,RP,,0,19,20,1,3,79,30
118447,0,Vegaine Expanse-27 I,GG,,0,26,20,0,3,0,73
118447,1,Vegaine Expanse-27 I-a,RM,0,1,26,20,1,3,57,38
118447,2,Vegaine Expanse-27 II,DP,,0,18,20,1,1,34,65
45211,0,Tauven Arc-16 I,RP,,0,21,28,1,3,68,22
26792,0,Aurigon Sector-88 I,RP,,0,28,29,3,3,65,30
118532,0,Serpentis Belt-03 I,RP,,0,30,23,3,0,58,34
75841,0,Velarn Arc-12 I,IC,,0,20,26,2,2,41,39
84147,0,Guniibuu I,DP,,0,24,30,0,1,58,57
84147,1,Guniibuu Asteroid,AS,,0,18,30,2,1,34,55
3814,0,Achird I,RP,,0,20,26,2,3,73,44
3814,1,Achird II,RP,,0,21,18,1,3,80,39
3814,2,Achird III,RP,,0,30,15,2,1,78,33
3814,3,Achird III-a,RM,2,1,31,16,2,3,70,38
37659,0,Procyon Reach-01 I,RP,,0,23,30,3,0,72,22
117106,0,Meridian Sector-01 I,RP,,0,25,30,1,2,61,32
117106,1,Meridian Sector-01 II,GG,,0,17,27,0,3,6,69
83882,0,Luyten Cluster-30 I,RP,,0,21,23,0,1,78,35
83882,1,Luyten Cluster-30 I-a,RM,0,1,22,24,2,1,70,43
99143,0,Zethys Belt-34 I,RP,,0,24,30,1,1,69,34
15471,0,82 G. Eri I,RP,,0,23,30,2,2,75,43
71027,0,Serpentis Belt-44 I,IC,,0,23,21,1,1,40,38
71027,1,Serpentis Belt-44 II,RP,,0,18,29,2,0,67,22
98924,0,Velarn Reach-04 I,DP,,0,27,30,1,0,63,67
118344,0,Frontier Verge-85 I,DP,,0,22,29,2,2,41,57
119184,0,Arcturon Verge-55 I,RP,,0,30,24,2,3,58,41
82565,0,Nomad Expanse-11 I,RP,,0,29,27,1,2,69,37
82565,1,Nomad Expanse-11 II,RP,,0,32,21,3,0,60,24
82565,2,Nomad Expanse-11 III,RP,,0,23,36,3,1,66,37
99382,0,Vegaine Cluster-25 I,DP,,0,24,20,2,1,40,56
118644,0,Talios Cluster-80 I,RP,,0,29,28,1,2,60,30
