from_system_id,to_system_id,distance_ly
0,58,4.3201549605378595
0,82,5.945191801323574
0,143,7.799276454180599
0,44,8.304420932875612
0,29,8.600787592571276
58,82,6.441384431651873
58,143,8.26731781583567
58,86,8.10872572120649
58,68,7.990139829890145
82,86,5.53794519554967
143,44,4.061179730249712
143,48,3.885946765654022
143,33,8.658482287400062
143,141,7.763028692101085
44,48,6.548377315195623
44,45,7.660458929478401
44,39,8.271685002688402
29,20,7.844658215374315
29,33,5.262140831361007
29,32,5.775835265341108
29,26,7.4683576609926465
29,28,5.560621722083416
86,68,8.295206016955104
86,98,7.360312299769696
86,67,8.198906652775028
86,76,7.764712602890827
168,85,8.642514630556672
168,2,1.8645953194082225
168,101,4.497166418822746
20,9,6.920996231915377
20,26,8.495963000564533
20,122,8.096723622464765
20,115,7.976847659846543
20,23,6.252203269717387
107,165,4.064402655416804
107,9,6.730159531325677
107,98,4.928820023041585
107,1,7.993179806944785
48,141,5.691746987696826
165,9,7.379542994350186
165,98,6.3510989366476895
165,6,8.637541481394834
165,1,7.50873576748552
33,32,1.1249938037752265
33,28,4.603866891298117
33,137,8.07354023840517
33,34,7.986437707529434
85,101,6.220704971749758
85,90,7.70045252784658
2,101,4.880652675687038
2,6,8.841055802643279
2,115,8.9451578062783
2,5,8.613967360566653
9,6,5.510906368387329
9,115,7.785157445271656
9,1,5.385627525885361
68,69,1.4680319282526968
68,76,4.671530531126096
68,46,8.046159334300276
68,81,7.293646851091947
32,28,3.871014358159581
32,137,8.111411799816446
32,34,7.136056059835754
26,122,4.122403432757894
26,19,8.880638122667143
98,96,8.359192050980601
98,93,7.691420785338935
98,94,8.240633323073192
101,90,8.295433867113303
101,5,8.187970326588237
101,108,8.490298799169272
28,27,7.718482393304979
28,34,8.168306827985026
28,125,8.021638752582131
69,76,4.19959221070694
69,46,8.06011497996369
69,81,5.957749806137466
69,92,8.728108021305763
6,115,4.774024107761081
6,1,6.46296469792587
6,110,7.094453647522919
122,19,5.79534236162015
67,83,7.826977291785114
67,62,8.421706715233935
67,72,7.328945340987673
67,63,8.212154931363418
67,70,8.23123220126632
140,46,2.0586553765390687
140,51,4.3064441414355645
140,139,6.369773406125862
76,81,5.257001650372518
76,72,7.53676525606333
76,73,8.401182351307565
46,51,3.134398657105288
46,139,6.472339259051837
45,39,3.0439891922011353
45,37,6.918159369151247
45,43,8.913895545126715
39,47,8.902113289634439
39,37,4.198947619733206
23,124,5.231425068976941
1,110,6.878723663564636
83,91,7.762960426572573
83,89,6.1432277664686845
83,70,8.630897957672566
91,89,3.7474574644787086
137,34,7.98782464378393
137,134,7.269736019487843
56,55,2.742559142477419
56,146,4.989123953757028
56,59,6.756059796969456
56,147,8.897865291001722
47,90,8.614063942542845
55,146,4.940470413721655
55,145,8.12330134354929
55,59,7.02139678758931
55,53,7.697373151262319
51,139,5.766821198986736
24,126,7.734193917056282
30,129,0.570887257980084
30,27,8.596276097044464
30,31,3.093065752523614
30,131,8.796803714104435
96,93,7.1052212066490625
90,97,5.818191848995194
90,158,5.730965372634884
90,95,7.78333316378052
129,27,8.695659607845487
129,31,2.7176737079338475
129,131,8.39564892633515
37,31,8.895501974750465
27,124,7.461031599784408
27,125,6.2535526111424256
81,92,6.375356777089593
81,94,8.780053029676948
81,73,8.777876445607868
62,57,3.6161951246707513
62,152,2.6104582206299303
62,63,5.168266108317117
135,34,8.697199990313432
72,70,7.218675559999935
72,73,4.23898167727333
72,157,8.04871856328115
5,108,4.9413133662330075
5,7,5.429127771985287
34,134,4.038720333418065
110,109,6.2523915736534725
110,104,7.504182866017047
110,167,4.60733294512488
110,4,7.462749586006805
71,66,4.414428138804663
71,84,8.592538471813143
71,65,7.582738843010946
93,94,3.207925632314935
19,123,8.310767864991469
57,152,5.761454208866535
57,63,4.250243814258166
92,94,7.330187181901987
92,164,5.923341276619076
124,125,4.950950291864118
124,25,8.490550722159336
109,104,3.980142515899031
139,133,4.3984220355421115
152,63,7.434565943134677
63,70,8.82780022806231
31,35,8.579150002561057
146,145,5.550311749783154
146,53,6.213421107146139
146,147,6.457383834660763
66,158,7.517604851283259
66,65,5.591063671342584
145,43,8.287188814208648
145,42,8.374172203757356
145,53,7.890922592559395
108,97,7.164505417506798
108,7,7.210950592230348
43,42,6.168009683330875
99,104,7.989408639973811
70,157,8.187462779445502
70,75,6.16738934130541
134,36,8.424398469858172
42,41,3.3362366181690972
42,40,6.933338483981459
164,3,6.048280408696181
164,8,7.794649872850639
73,64,7.161014189077488
73,74,8.215419409546241
104,167,8.520733382455866
97,158,6.9478486142671505
97,95,3.5599814754204995
97,159,8.472010698571992
41,40,3.7065320480225936
14,15,7.872008362425602
14,10,7.855844647252469
14,117,5.550514712208242
14,121,5.94957329001595
14,116,7.033955538666096
14,18,8.250972228061677
167,4,8.272870647418786
167,166,5.56028343518079
158,95,6.230164631178349
158,159,3.6312595387060225
161,84,6.078603196582649
161,160,7.118710028345435
161,78,7.369157686005122
161,162,5.005825825376333
161,80,6.408601158827162
161,87,4.966304553978116
4,10,8.465540708717066
163,103,6.798368469981062
163,105,6.236914712540883
163,166,6.113603932907811
163,106,5.09960774687303
163,100,7.154154594546751
163,102,4.590384602392377
3,8,5.180883954136158
15,10,6.467950077249656
15,117,6.889611499743269
15,119,7.4553230975046265
112,103,8.447383365046258
112,105,8.333855937615015
112,169,7.293675628677376
10,117,5.652090188569841
10,116,6.861648987311823
157,75,8.994232625446898
126,130,3.277466725193307
126,132,7.4037926856045315
126,127,7.259235147366608
103,105,0.9087241772968648
103,169,7.634241004261951
103,106,4.540562565876514
103,102,6.439061492013495
120,22,7.416921306101357
120,21,7.351835683345355
120,11,8.112992375131883
120,17,5.82547383406598
53,147,8.39897789170948
53,148,3.5479917657285824
84,160,1.4086707917348387
84,162,4.263598676199088
84,80,7.21861574296544
84,79,7.9248401395319545
75,78,7.600158087940241
105,169,8.21994443077064
105,106,3.6336981432764888
105,102,5.651258872271792
130,132,6.531831843634808
130,127,8.609023583838162
131,128,4.549876350430393
169,111,5.987648106014457
169,113,7.897493371426593
147,52,8.001152838872532
147,149,5.353230349226547
147,54,4.931900027016271
95,159,6.684613619955626
166,106,7.320727614136936
166,102,7.117061483163559
65,79,8.64279559086771
65,156,5.876642951584646
65,154,7.431216375627049
160,162,4.658359142974262
160,80,7.424955901393341
160,79,6.774913934230687
78,80,4.413911820100557
114,8,5.459888896922214
162,80,8.501445222488034
162,87,5.64316688732762
144,52,4.936531792027246
144,49,6.3683738437323125
144,50,5.975155508527644
106,102,3.0072521305553312
159,156,8.620861874354443
80,79,8.762131147906858
64,74,7.06941408896167
64,155,6.177070775417257
52,49,5.019953568738675
52,50,4.8054220142835335
52,54,8.424720787376401
117,121,7.950367261487251
117,116,2.8129676193255335
117,119,7.52956160171218
121,21,8.320136342015735
121,18,2.4224431453908046
22,21,3.9560628547041192
22,17,8.046622817988295
136,36,5.591483298716961
49,50,2.0660016995665154
49,142,7.553195310413098
35,132,7.597628448893191
35,138,8.725880647129104
149,54,4.235885563052078
149,60,7.79484392280277
149,150,6.167459001911073
74,155,4.255639292425175
74,77,3.502355964108957
88,77,8.767507584606406
21,18,7.4482642211429715
21,17,6.497614895054693
21,16,8.227897281668925
50,142,7.221455248081075
11,12,6.586797576036198
11,17,7.225064889349202
11,16,7.921531954503726
132,127,5.254065663575556
54,150,6.760373333225025
17,16,3.933345255566414
79,156,5.687311212418844
79,154,7.747853823869412
156,154,6.787929432717665
155,77,5.280755273755374
111,113,4.184027352774669
61,60,4.51701855268841
119,118,6.62441446168547
119,13,6.69727412358452
154,153,6.059532343565307
60,150,6.6259980376718906
60,151,8.81651377257226
118,13,1.588261327556501
138,38,8.455616539892308
150,151,5.1320692196847615
153,151,8.322165635763431
