system_id,object_id,name,class,parent_object_id,is_moon,local_x,local_y,ore_richness,fuel_richness,habitability,risk
0,0,Earth,RP,255,0,27,29,3,1,82,33
0,1,Luna,RM,0,1,28,28,2,0,68,39
0,2,Mars,RP,255,0,19,30,2,1,80,35
0,3,Ceres,AS,255,0,35,30,1,0,40,72
1,0,Khoras Arc-46 I,RP,255,0,25,30,1,2,64,32
1,1,Khoras Arc-46 I-a,RM,0,1,24,30,0,3,58,27
2,0,Groombridge 34 I,DP,255,0,29,23,2,1,45,47
3,0,Arcturon Expanse-58 I,RP,255,0,27,20,3,1,80,47
3,1,Arcturon Expanse-58 II,GG,255,0,26,33,0,3,24,84
4,0,96 G. Psc I,RP,255,0,26,20,2,1,73,28
4,1,96 G. Psc Asteroid,AS,255,0,33,27,3,1,37,61
5,0,Achird I,RP,255,0,20,26,2,3,73,44
5,1,Achird II,RP,255,0,21,18,1,3,80,39
5,2,Achird III,RP,255,0,30,15,2,1,78,33
5,3,Achird III-a,RM,2,1,31,16,2,3,70,38
7,0,Arcturon Expanse-67 I,RP,255,0,30,26,0,2,83,44
8,0,Koros Sector-37 I,DP,255,0,30,23,3,1,61,51
9,0,Talios Belt-14 I,GG,255,0,20,24,0,3,10,63
9,1,Talios Belt-14 I-a,RM,0,1,21,26,0,2,53,35
9,2,Talios Belt-14 I-b,IM,0,1,20,25,1,1,30,42
10,0,Nomad Arc-15 I,RP,255,0,30,24,2,1,71,34
11,0,Aurigon Verge-97 I,RP,255,0,30,23,1,2,70,31
11,1,Aurigon Verge-97 II,RP,255,0,27,33,2,0,63,23
12,0,Zethys Reach-71 I,RP,255,0,25,20,0,3,71,35
12,1,Zethys Reach-71 II,IC,255,0,19,20,0,1,47,51
13,0,Deltoton I,RP,255,0,28,21,3,2,85,36
13,1,Deltoton II,RP,255,0,27,17,1,0,84,45
14,0,268 G. Cet I,RP,255,0,26,30,2,1,67,38
14,1,268 G. Cet I-a,IM,0,1,25,29,0,0,41,56
16,0,Pioneer Arc-34 I,RP,255,0,29,28,2,2,76,36
17,0,Veyra Reach-99 I,IC,255,0,20,24,1,3,25,50
17,1,Veyra Reach-99 I-a,RM,0,1,21,23,1,2,42,50
17,2,Veyra Reach-99 II,RP,255,0,26,33,2,0,63,35
18,0,Zethys Verge-79 I,RP,255,0,24,20,1,1,85,35
18,1,Zethys Verge-79 I-a,IM,0,1,25,22,0,2,56,59
19,0,82 G. Eri I,RP,255,0,23,30,2,2,75,43
20,0,Ran I,RP,255,0,28,29,3,0,78,38
20,1,Ran II,RP,255,0,31,20,1,0,81,31
21,0,Rana I,RP,255,0,23,20,3,1,73,40
