source_system_id,runtime_system_id
0,0
1240,1
1472,2
2016,3
3759,4
3814,5
3820,6
5325,7
5485,8
5632,9
7966,10
9702,11
9764,12
10620,13
12082,14
12748,15
13368,16
14067,17
15419,18
15471,19
16496,20
17336,21
18852,22
19799,23
21036,24
22396,25
24129,26
26792,27
30847,28
32263,29
33139,30
34511,31
36107,32
37173,33
37659,34
38846,35
40386,36
45211,37
46945,38
49767,39
49845,40
51172,41
52866,42
53612,43
53879,44
54052,45
57194,46
57371,47
57375,48
57629,49
57767,50
58735,51
61124,52
65653,53
66694,54
66943,55
67380,56
71027,57
71456,58
72432,59
72665,60
72717,61
72957,62
74766,63
79777,64
80105,65
80218,66
80579,67
82472,68
82473,69
82557,70
83882,71
84147,72
84451,73
84462,74
85036,75
85264,76
85794,77
86022,78
86509,79
86705,80
86722,81
87665,82
88327,83
90979,84
91484,85
92115,86
93578,87
93930,88
94466,89
95799,90
97338,91
98924,92
99143,93
99382,94
100854,95
102708,96
102765,97
104751,98
105765,99
105913,100
110547,101
111450,102
112923,103
112936,104
113008,105
113216,106
113687,107
114260,108
115766,109
117106,110
117956,111
117987,112
118012,113
118084,114
118100,115
118104,116
118128,117
118129,118
118152,119
118187,120
118201,121
118236,122
118293,123
118344,124
118399,125
118405,126
118409,127
118425,128
118447,129
118451,130
118455,131
118459,132
118510,133
118530,134
118532,135
118572,136
118578,137
118585,138
118644,139
118704,140
118707,141
118710,142
118720,143
118777,144
118812,145
118865,146
118894,147
118902,148
118955,149
118972,150
118993,151
118995,152
119048,153
119090,154
119102,155
119126,156
119199,157
119212,158
119218,159
119224,160
119229,161
119260,162
119492,163
119513,164
119518,165
119536,166
119571,167
119585,168
119615,169
